customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Charges.Calculated,DailyExpense
0002-ORFBO,True,Female,False,True,True,9,True,False,DSL,False,True,False,True,True,False,One year,True,Mailed check,65.6,593.3,590.4,2.1866666666666665
0003-MKNFE,True,Male,False,False,False,9,True,True,DSL,False,False,False,False,False,True,Month-to-month,False,Mailed check,59.9,542.4,539.1,1.9966666666666668
0004-TLHLJ,True,Male,False,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,73.9,280.85,295.6,2.4633333333333334
0011-IGKFF,True,Male,True,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.0,1237.85,1274.0,3.2666666666666666
0013-EXCHZ,True,Female,True,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Month-to-month,True,Mailed check,83.9,267.4,251.70000000000002,2.796666666666667
0013-MHZWF,True,Female,False,False,True,9,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),69.4,571.45,624.6,2.3133333333333335
0013-SMEOE,True,Female,True,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),109.7,7904.25,7788.7,3.6566666666666667
0014-BMAQU,True,Male,False,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),84.65,5377.8,5332.950000000001,2.821666666666667
0015-UOCOJ,True,Female,True,False,False,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,48.2,340.35,337.40000000000003,1.606666666666667
0016-QLJIS,True,Female,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Two year,True,Mailed check,90.45,5957.9,5879.25,3.015
0017-DINOC,True,Male,False,False,False,54,False,False,DSL,True,False,False,True,True,False,Two year,False,Credit card (automatic),45.2,2460.55,2440.8,1.5066666666666668
0017-IUDMW,True,Female,False,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),116.8,8456.75,8409.6,3.8933333333333335
0018-NYROU,True,Female,False,True,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,68.95,351.5,344.75,2.2983333333333333
0019-EFAEP,True,Female,False,False,False,72,True,True,Fiber optic,True,True,True,False,True,False,Two year,True,Bank transfer (automatic),101.3,7261.25,7293.599999999999,3.3766666666666665
0019-GFNTW,True,Female,False,False,False,56,False,False,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),45.05,2560.1,2522.7999999999997,1.5016666666666665
0020-INWCK,True,Female,False,True,True,71,True,True,Fiber optic,False,True,True,False,False,True,Two year,True,Credit card (automatic),95.75,6849.4,6798.25,3.191666666666667
0020-JDNXP,True,Female,False,True,True,34,False,False,DSL,True,False,True,True,True,True,One year,False,Mailed check,61.25,1993.2,2082.5,2.0416666666666665
0021-IKXGC,True,Female,True,False,False,1,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,72.1,72.1,72.1,2.4033333333333333
0022-TCJCI,True,Male,True,False,False,45,True,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),62.7,2791.5,2821.5,2.09
0023-HGHWL,True,Male,True,False,False,1,False,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,25.1,25.1,25.1,0.8366666666666667
0023-UYUPN,True,Female,True,True,False,50,True,True,No,False,False,False,False,False,False,One year,False,Electronic check,25.2,1306.3,1260.0,0.84
0023-XUOPT,True,Female,False,True,False,13,True,True,Fiber optic,False,True,True,False,True,False,Month-to-month,False,Electronic check,94.1,1215.6,1223.3,3.1366666666666667
0027-KWYKW,True,Female,False,True,True,23,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,83.75,1849.95,1926.25,2.7916666666666665
0030-FNXPP,True,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.85,57.2,59.550000000000004,0.6616666666666667
0031-PVLZI,True,Female,False,True,True,4,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.35,76.35,81.4,0.6783333333333333
0032-PGELS,True,Female,False,True,True,1,False,False,DSL,True,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),30.5,30.5,30.5,1.0166666666666666
0036-IHMOT,True,Female,False,True,True,55,True,False,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),103.7,5656.75,5703.5,3.4566666666666666
0040-HALCW,True,Male,False,True,True,54,True,False,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),20.4,1090.6,1101.6,0.6799999999999999
0042-JVWOJ,True,Male,False,False,False,26,True,False,No,False,False,False,False,False,False,One year,True,Bank transfer (automatic),19.6,471.85,509.6,0.6533333333333333
0042-RLHYP,True,Female,False,True,True,69,True,False,No,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),19.7,1396.9,1359.3,0.6566666666666666
0047-ZHDTW,False,Female,False,False,False,11,True,True,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),79.0,929.3,869.0,2.6333333333333333
0048-LUMLS,True,Male,False,True,True,37,True,False,Fiber optic,False,False,False,False,True,True,One year,False,Credit card (automatic),91.2,3247.55,3374.4,3.04
0048-PIHNL,True,Female,False,True,False,49,True,False,No,False,False,False,False,False,False,One year,False,Bank transfer (automatic),20.45,900.9,1002.05,0.6816666666666666
0052-DCKON,True,Male,False,True,False,66,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Bank transfer (automatic),115.8,7942.15,7642.8,3.86
0052-YNYOT,True,Female,False,False,False,67,True,False,No,False,False,False,False,False,False,One year,False,Electronic check,20.55,1343.4,1376.8500000000001,0.685
0056-EPFBG,True,Male,False,True,True,20,False,False,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),39.4,825.4,788.0,1.3133333333333332
0057-QBUQH,True,Female,False,False,True,43,True,True,No,False,False,False,False,False,False,Two year,True,Electronic check,25.1,1070.15,1079.3,0.8366666666666667
